nonwordType,upperWord,lowerWord,corrAns,n,fixation.started_mean,fixation.started_raw,fixation.started_std,fixation.stopped_raw,lowerStim.started_mean,lowerStim.started_raw,lowerStim.started_std,lowerStim.stopped_raw,resp.corr_mean,resp.corr_raw,resp.corr_std,resp.keys_raw,resp.rt_mean,resp.rt_raw,resp.rt_std,resp.started_mean,resp.started_raw,resp.started_std,resp.stopped_raw,upperStim.started_mean,upperStim.started_raw,upperStim.started_std,upperStim.stopped_raw,order
PSEUDOHOMOPHONE,BILL,AHMS,up,1.0,69.03218841552734,69.03218841552734,0.0,,70.01219940185547,70.01219940185547,0.0,,1.0,1.0,0.0,'up',0.6958443522453308,0.6958443522453308,0.0,70.01219940185547,70.01219940185547,0.0,,70.01219940185547,70.01219940185547,0.0,,2.0
PSEUDOHOMOPHONE,BORN,BILD,up,1.0,67.49417877197266,67.49417877197266,0.0,,68.47552490234375,68.47552490234375,0.0,,1.0,1.0,0.0,'up',0.5335215330123901,0.5335215330123901,0.0,68.47552490234375,68.47552490234375,0.0,,68.47552490234375,68.47552490234375,0.0,,1.0
PSEUDOHOMOPHONE,BOYS,CORT,up,1.0,90.54825592041016,90.54825592041016,0.0,,91.5274658203125,91.5274658203125,0.0,,1.0,1.0,0.0,'up',0.4749034345149994,0.4749034345149994,0.0,91.5274658203125,91.5274658203125,0.0,,91.5274658203125,91.5274658203125,0.0,,15.0
PSEUDOHOMOPHONE,CALL,DERT,up,1.0,99.5301284790039,99.5301284790039,0.0,,100.51116180419922,100.51116180419922,0.0,,1.0,1.0,0.0,'up',0.5948696732521057,0.5948696732521057,0.0,100.51116180419922,100.51116180419922,0.0,,100.51116180419922,100.51116180419922,0.0,,20.0
PSEUDOHOMOPHONE,CARS,FLOO,up,1.0,105.92697143554688,105.92697143554688,0.0,,106.89519500732422,106.89519500732422,0.0,,1.0,1.0,0.0,'up',0.5354824662208557,0.5354824662208557,0.0,106.89519500732422,106.89519500732422,0.0,,106.89519500732422,106.89519500732422,0.0,,24.0
PSEUDOHOMOPHONE,COLD,GARD,up,1.0,93.78073120117188,93.78073120117188,0.0,,94.7574234008789,94.7574234008789,0.0,,1.0,1.0,0.0,'up',0.8465855121612549,0.8465855121612549,0.0,94.7574234008789,94.7574234008789,0.0,,94.7574234008789,94.7574234008789,0.0,,17.0
PSEUDOHOMOPHONE,DARN,GROE,up,1.0,95.62403869628906,95.62403869628906,0.0,,96.60836029052734,96.60836029052734,0.0,,1.0,1.0,0.0,'up',1.2576242685317993,1.2576242685317993,0.0,96.60836029052734,96.60836029052734,0.0,,96.60836029052734,96.60836029052734,0.0,,18.0
CONTROL,DATE,AHNS,up,1.0,72.39401245117188,72.39401245117188,0.0,,73.357177734375,73.357177734375,0.0,,1.0,1.0,0.0,'up',0.4937286972999573,0.4937286972999573,0.0,73.357177734375,73.357177734375,0.0,,73.357177734375,73.357177734375,0.0,,4.0
CONTROL,DEEP,BAIF,up,1.0,75.38174438476562,75.38174438476562,0.0,,76.35906219482422,76.35906219482422,0.0,,1.0,1.0,0.0,'up',0.4985414147377014,0.4985414147377014,0.0,76.35906219482422,76.35906219482422,0.0,,76.35906219482422,76.35906219482422,0.0,,6.0
CONTROL,EASY,BIRL,up,1.0,78.87755584716797,78.87755584716797,0.0,,79.84505462646484,79.84505462646484,0.0,,1.0,1.0,0.0,'up',0.5176190137863159,0.5176190137863159,0.0,79.84505462646484,79.84505462646484,0.0,,79.84505462646484,79.84505462646484,0.0,,8.0
CONTROL,FARM,BORY,up,1.0,101.16056060791016,101.16056060791016,0.0,,102.12744903564453,102.12744903564453,0.0,,1.0,1.0,0.0,'up',0.5014967322349548,0.5014967322349548,0.0,102.12744903564453,102.12744903564453,0.0,,102.12744903564453,102.12744903564453,0.0,,21.0
CONTROL,FEED,VECE,up,1.0,102.66449737548828,102.66449737548828,0.0,,103.64451599121094,103.64451599121094,0.0,,1.0,1.0,0.0,'up',0.5485449433326721,0.5485449433326721,0.0,103.64451599121094,103.64451599121094,0.0,,103.64451599121094,103.64451599121094,0.0,,22.0
CONTROL,FIRE,DREE,up,1.0,83.77713775634766,83.77713775634766,0.0,,84.74520874023438,84.74520874023438,0.0,,1.0,1.0,0.0,'up',0.5223677754402161,0.5223677754402161,0.0,84.74520874023438,84.74520874023438,0.0,,84.74520874023438,84.74520874023438,0.0,,11.0
CONTROL,FOOD,FEVE,up,1.0,73.88028717041016,73.88028717041016,0.0,,74.86176300048828,74.86176300048828,0.0,,1.0,1.0,0.0,'up',0.4930735230445862,0.4930735230445862,0.0,74.86176300048828,74.86176300048828,0.0,,74.86176300048828,74.86176300048828,0.0,,5.0
CONTROL,HOPE,FUTE,up,1.0,97.91165161132812,97.91165161132812,0.0,,98.8766098022461,98.8766098022461,0.0,,1.0,1.0,0.0,'up',0.6284947395324707,0.6284947395324707,0.0,98.8766098022461,98.8766098022461,0.0,,98.8766098022461,98.8766098022461,0.0,,19.0
PSEUDOHOMOPHONE,KORD,LACK,down,1.0,70.74398803710938,70.74398803710938,0.0,,71.71205139160156,71.71205139160156,0.0,,1.0,1.0,0.0,'down',0.6488572955131531,0.6488572955131531,0.0,71.71205139160156,71.71205139160156,0.0,,71.71205139160156,71.71205139160156,0.0,,3.0
PSEUDOHOMOPHONE,LERN,LIST,down,1.0,86.99298095703125,86.99298095703125,0.0,,87.97594451904297,87.97594451904297,0.0,,1.0,1.0,0.0,'down',0.808459997177124,0.808459997177124,0.0,87.97594451904297,87.97594451904297,0.0,,87.97594451904297,87.97594451904297,0.0,,13.0
PSEUDOHOMOPHONE,MONE,MASS,down,1.0,76.89033508300781,76.89033508300781,0.0,,77.87847900390625,77.87847900390625,0.0,,1.0,1.0,0.0,'down',0.9570561647415161,0.9570561647415161,0.0,77.87847900390625,77.87847900390625,0.0,,77.87847900390625,77.87847900390625,0.0,,7.0
PSEUDOHOMOPHONE,SUNE,NEWS,down,1.0,65.46114349365234,65.46114349365234,0.0,,66.44660949707031,66.44660949707031,0.0,,1.0,1.0,0.0,'down',1.0152095556259155,1.0152095556259155,0.0,66.44660949707031,66.44660949707031,0.0,,66.44660949707031,66.44660949707031,0.0,,0.0
PSEUDOHOMOPHONE,TAKS,NOTE,down,1.0,107.4762954711914,107.4762954711914,0.0,,108.4428939819336,108.4428939819336,0.0,,1.0,1.0,0.0,'down',0.6458684802055359,0.6458684802055359,0.0,108.4428939819336,108.4428939819336,0.0,,108.4428939819336,108.4428939819336,0.0,,25.0
PSEUDOHOMOPHONE,TODE,POOL,down,1.0,112.84728240966797,112.84728240966797,0.0,,113.82886505126953,113.82886505126953,0.0,,1.0,1.0,0.0,'down',0.6556275486946106,0.6556275486946106,0.0,113.82886505126953,113.82886505126953,0.0,,113.82886505126953,113.82886505126953,0.0,,28.0
PSEUDOHOMOPHONE,WERK,RACE,down,1.0,80.39385986328125,80.39385986328125,0.0,,81.35857391357422,81.35857391357422,0.0,,1.0,1.0,0.0,'down',0.6399828791618347,0.6399828791618347,0.0,81.35857391357422,81.35857391357422,0.0,,81.35857391357422,81.35857391357422,0.0,,9.0
PSEUDOHOMOPHONE,WITE,RISE,down,1.0,114.52809143066406,114.52809143066406,0.0,,115.49394989013672,115.49394989013672,0.0,,1.0,1.0,0.0,'down',0.8825426697731018,0.8825426697731018,0.0,115.49394989013672,115.49394989013672,0.0,,115.49394989013672,115.49394989013672,0.0,,29.0
CONTROL,GAIR,SHOT,down,1.0,109.12672424316406,109.12672424316406,0.0,,110.09414672851562,110.09414672851562,0.0,,1.0,1.0,0.0,'down',0.7695925235748291,0.7695925235748291,0.0,110.09414672851562,110.09414672851562,0.0,,110.09414672851562,110.09414672851562,0.0,,26.0
CONTROL,JATE,SOON,down,1.0,82.04564666748047,82.04564666748047,0.0,,83.01191711425781,83.01191711425781,0.0,,1.0,1.0,0.0,'down',0.7357329726219177,0.7357329726219177,0.0,83.01191711425781,83.01191711425781,0.0,,83.01191711425781,83.01191711425781,0.0,,10.0
CONTROL,NUCK,STEP,down,1.0,104.22666931152344,104.22666931152344,0.0,,105.19490814208984,105.19490814208984,0.0,,1.0,1.0,0.0,'down',0.6930160522460938,0.6930160522460938,0.0,105.19490814208984,105.19490814208984,0.0,,105.19490814208984,105.19490814208984,0.0,,23.0
CONTROL,PLEN,STOP,down,1.0,85.3122787475586,85.3122787475586,0.0,,86.27685546875,86.27685546875,0.0,,1.0,1.0,0.0,'down',0.6975942254066467,0.6975942254066467,0.0,86.27685546875,86.27685546875,0.0,,86.27685546875,86.27685546875,0.0,,12.0
CONTROL,SOAT,TALK,down,1.0,110.89540100097656,110.89540100097656,0.0,,111.87369537353516,111.87369537353516,0.0,,1.0,1.0,0.0,'down',0.9479815363883972,0.9479815363883972,0.0,111.87369537353516,111.87369537353516,0.0,,111.87369537353516,111.87369537353516,0.0,,27.0
CONTROL,TINP,WHOM,down,1.0,92.0440444946289,92.0440444946289,0.0,,93.00852966308594,93.00852966308594,0.0,,1.0,1.0,0.0,'down',0.740732729434967,0.740732729434967,0.0,93.00852966308594,93.00852966308594,0.0,,93.00852966308594,93.00852966308594,0.0,,16.0
CONTROL,CEST,WISE,down,1.0,88.8137435913086,88.8137435913086,0.0,,89.79507446289062,89.79507446289062,0.0,,1.0,1.0,0.0,'down',0.7181370854377747,0.7181370854377747,0.0,89.79507446289062,89.79507446289062,0.0,,89.79507446289062,89.79507446289062,0.0,,14.0

extraInfo
participant,debug2
session,001
native language,Danish
date,2020_Apr_10_1101
expName,pseudohomophones_EW
psychopyVersion,2020.1.2
frameRate,60.30547763089138
