setSize,posInSet,present,numberSet,target,corrAns,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,OK1.keys,OK1.rt,OK1.started,OK1.stopped,fixation.started,fixation.stopped,presentSet.started,presentSet.stopped,presentTarget.started,presentTarget.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instr2.started,instr2.stopped,OK2.keys,OK2.rt,OK2.started,OK2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,15.209663246001583,None,space,22.56798089001677,15.209663246001583,None,,,,,,,,,,,,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,4,y,1 7 9 8 5,8,right,0,0,0,8,,,,,,,,,,,37.86478906898992,38.86660077300621,39.015821162000066,40.515527679992374,42.528895264986204,None,right,1,1.067410696996376,42.528895264986204,None,43.634792135999305,None,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,--,n,2 1,5,left,0,1,1,3,,,,,,,,,,,44.633954642980825,45.64898692499264,45.81562967898208,47.314939173986204,49.31575163800153,None,left,1,1.2528216829814482,49.31575163800153,None,50.615870515001006,None,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,1,y,4 8,4,right,0,2,2,2,,,,,,,,,,,51.6137752099894,52.614334162994055,52.79673490600544,54.29790102498373,56.29650838900125,None,right,1,0.9198348350182641,56.29650838900125,None,57.25226790699526,None,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,9 6 7 4 5,3,left,0,3,3,9,,,,,,,,,,,58.25248078798177,59.26396081398707,59.430232366983546,60.930916177982,62.9293145989941,None,left,1,1.3887410669995006,62.9293145989941,None,64.35145648298203,None,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,3 1 9 4,6,left,0,4,4,7,,,,,,,,,,,65.36538234498585,66.36452061799355,66.54925647898926,68.0486325789825,70.04822521898313,None,left,1,1.4328531729988754,70.04822521898313,None,71.51247446899652,None,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
1,1,y,6,6,right,0,5,5,0,,,,,,,,,,,72.51445526498719,73.53053113998612,73.69545910600573,75.19834005300072,77.19621620798716,None,right,1,0.9797579739824869,77.19621620798716,None,78.20196859698626,None,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,--,n,4 1 5,2,left,0,6,6,5,,,,,,,,,,,79.21799378300784,80.23099412999,80.39780056700693,81.89781978199608,83.89613716700114,None,left,1,1.69421874199179,83.89613716700114,None,85.61293904599734,None,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,2,y,1 5 2 9,5,right,0,7,7,6,,,,,,,,,,,86.6168873779825,87.63166008400731,87.795308345987,89.29599822100135,91.29519980598707,None,right,1,1.7101291169819888,91.29519980598707,None,93.030091558001,None,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,3,y,2 9 4,4,right,0,8,8,4,,,,,,,,,,,94.0289450029959,95.02919335098704,95.21139548197971,96.71357778698439,98.71486039698357,None,right,1,1.7240334689849988,98.71486039698357,None,100.46635887699085,None,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,5 7 8 4 1 2,6,left,0,9,9,11,,,,,,,,,,,101.48288597600185,102.4970436040021,102.66270261898171,104.16270887199789,106.16484198399121,None,left,1,1.9040064339933451,106.16484198399121,None,108.10180567999487,None,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,1,y,4 3 1 7 9 8,4,right,0,10,10,10,,,,,,,,,,,109.11326500299037,110.11337504899711,110.2963985389797,111.79663752898341,113.7961276799906,115.79684660298517,right,1,2.2893693859805353,113.7961276799906,None,116.11671743998886,None,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
1,--,n,5,3,left,0,11,11,1,,,,,,,,,,,117.12967935798224,118.12914389700745,118.31137757698889,119.81306683199364,121.81103368700133,None,left,1,0.9622201800229959,121.81103368700133,None,122.795460489986,None,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.79617809399497,None,space,136.5406993959914,123.79617809399497,None,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,5,y,6 8 9 3 4 9,4,right,,,,,0,0,0,119,,,,,,,260.39570655400166,261.4106336719997,261.57590104598785,263.07783808000386,265.0753790739982,None,right,1,1.3059342089982238,265.0753790739982,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,6 9 4 5 3 2,8,left,,,,,0,1,1,108,,,,,,,266.429865669983,267.44518966198666,267.5944839720032,269.10965021999436,271.09195066898246,None,left,1,1.2343919289996848,271.09195066898246,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,5 3 2 6 9 8,4,left,,,,,0,2,2,90,,,,,,,272.34676857400336,273.34577032900415,273.528354982991,275.04297277799924,277.0272511100047,None,right,0,1.348763087997213,277.0272511100047,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,1 7 5 2,3,left,,,,,0,3,3,48,,,,,,,278.39372107500094,279.3939944129961,279.57564997900045,281.0770070400031,283.0753241769853,None,left,1,1.1662076789943967,283.0753241769853,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,2,y,8 9 6 1,9,right,,,,,0,4,4,46,,,,,,,284.27806705000694,285.27790370199364,285.44519564299844,286.95884558500256,288.9415912090044,None,right,1,1.7067888419842348,288.9415912090044,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,2,y,8 3,3,right,,,,,0,5,5,15,,,,,,,290.68268164098845,291.69288091699127,291.85874960100045,293.3605245779909,295.3611223299813,None,right,1,0.863417954009492,295.3611223299813,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,3,y,7 2 3,3,right,,,,,0,6,6,35,,,,,,,296.2479422739998,297.26008842999,297.4250253599894,298.92646787900594,300.9247598509828,None,right,1,1.7450902950076852,300.9247598509828,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,3,y,3 9 7 6 4,7,right,,,,,0,7,7,76,,,,,,,302.69632408599136,303.7095460869896,303.8764021669922,305.3781254259811,307.37471788498806,None,right,1,1.8668226749869063,307.37471788498806,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,--,n,5 7 3,9,left,,,,,0,8,8,25,,,,,,,309.2634652899869,310.2775016090018,310.44441155699315,311.9433227129921,313.9436636779865,None,left,1,0.9478160690050572,313.9436636779865,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,1 4 9 2 5,7,left,,,,,0,9,9,84,,,,,,,314.927513867995,315.9426615779812,316.09112295499654,317.5920772359823,319.59106141500524,None,left,1,1.5866818290087394,319.59106141500524,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,1,y,2 3 7 4,2,right,,,,,0,10,10,39,,,,,,,321.2274061369826,322.2428072789917,322.39178331100265,323.89205925000715,325.8909440349962,None,right,1,1.3375942599959671,325.8909440349962,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,--,n,1 8 7,4,left,,,,,0,11,11,30,,,,,,,327.2784722840006,328.29378815798555,328.4439661070064,329.94309273699764,331.94167859098525,None,left,1,1.2627848599804565,331.94167859098525,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,2,y,4 1 5,1,right,,,,,0,12,12,28,,,,,,,333.22589056100696,334.2263239719905,334.4096460689907,335.9093957169971,337.9074893310026,None,right,1,1.2940359509957489,337.9074893310026,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
1,1,y,4,4,right,,,,,0,13,13,3,,,,,,,339.24370977198123,340.25828465100494,340.4084882239986,341.9092795379984,343.9104413059831,None,right,1,0.9275421950151213,343.9104413059831,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,1,y,4 6 5 8,4,right,,,,,0,14,14,41,,,,,,,344.8783147459908,345.87693114898866,346.0435579890036,347.54261088799103,349.54131006399984,None,right,1,0.7390799829736352,349.54131006399984,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,3,y,3 5 7 1,7,right,,,,,0,15,15,53,,,,,,,350.32743780699093,351.3415076509991,351.49026883998886,352.99225975299487,354.9909420640033,None,right,1,0.9691115850000642,354.9909420640033,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,2 8 7 9 5 3,6,left,,,,,0,16,16,109,,,,,,,355.9801095649891,356.9921516960021,357.15715485200053,358.65947199898073,360.65783169999486,None,left,1,1.4698840100027155,360.65783169999486,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,6,y,4 7 6 8 2 3,3,right,,,,,0,17,17,123,,,,,,,362.1765233509941,363.17652333999285,363.3433662329917,364.8423016599845,366.8433444259863,None,right,1,1.12237490498228,366.8433444259863,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,3,y,2 4 6 9,6,right,,,,,0,18,18,52,,,,,,,367.9971448830038,369.0086743340071,369.1740467250056,370.6757157850079,372.67459194900584,None,right,1,1.1069022640003823,372.67459194900584,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,3,y,8 1 6,6,right,,,,,0,19,19,33,,,,,,,373.81404569299775,374.82553410099354,374.9923753220064,376.4922812199802,378.49002846700023,None,right,1,1.0131135730189271,378.49002846700023,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,2 6 4 3 9,1,left,,,,,0,20,20,74,,,,,,,379.5448292049987,380.5576645240071,380.70660318798036,382.2077160649933,384.20869205798954,None,left,1,1.2743299189896788,384.20869205798954,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,2,y,4 3 2 5 8,3,right,,,,,0,21,21,71,,,,,,,385.51373373999377,386.52499210098176,386.68982588200015,388.19201404598425,390.1897090289858,None,right,1,1.9382011470152065,390.1897090289858,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,1 5 3 2 8,4,left,,,,,0,22,22,73,,,,,,,392.1765951169946,393.17592829899513,393.3420452529972,394.8441234009806,396.8427229629888,398.84246048599016,left,1,5.548969264986226,396.8427229629888,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,4,y,9 6 2 4 1,4,right,,,,,0,23,23,83,,,,,,,402.41319630498765,403.4246332139883,403.590729071002,405.0905204039882,407.09188586700475,409.09126249700785,right,1,2.4844636820198502,407.09188586700475,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,6,y,8 5 3 7 4 6,6,right,,,,,0,24,24,125,,,,,,,409.6127807919984,410.62443214899395,410.7896360110026,412.29174403398065,414.29306822200306,None,right,1,1.006179986987263,414.29306822200306,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,7 8 6 1,3,left,,,,,0,25,25,44,,,,,,,415.34213172999443,416.3438246609876,416.509005704982,418.008067614981,420.0090484999819,None,left,1,1.1060490579984616,420.0090484999819,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,3,y,6 1 2,2,right,,,,,0,26,26,34,,,,,,,421.14596960300696,422.1587776899978,422.3248944359948,423.82471402699593,425.8224407210073,None,right,1,1.1964126959792338,425.8224407210073,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,8 4 3 5,6,left,,,,,0,27,27,42,,,,,,,427.0586118149804,428.05797081798664,428.2255386989855,429.72686714999145,431.7252293030033,None,left,1,1.271475046989508,431.7252293030033,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,1,y,2 4 8 5 1 3,2,right,,,,,0,28,28,94,,,,,,,433.0412765899964,434.04028763700626,434.20640856199316,435.7078268349869,437.7078903699876,None,right,1,0.9797020519908983,437.7078903699876,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,2,y,9 5 8 1,5,right,,,,,0,29,29,45,,,,,,,438.7249473200063,439.7243441059836,439.8916643720004,441.39163447899045,443.38977255200734,None,right,1,1.3055862589972094,443.38977255200734,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,7 9 1 6,4,left,,,,,0,30,30,54,,,,,,,444.72855415800586,445.73983559399494,445.90532467199955,447.4069783599989,449.40664279600605,None,left,1,1.155570645001717,449.40664279600605,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,4,y,8 9 5 7 1 6,7,right,,,,,0,31,31,113,,,,,,,450.59549554798286,451.60748975898605,451.7746348269866,453.2769308349816,455.274658254988,None,right,1,1.9161438109877054,455.274658254988,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,5,y,3 4 9 6 2 9,2,right,,,,,0,32,32,117,,,,,,,457.22842603200115,458.24162384998635,458.40831858100137,459.9264949509816,461.90747732599266,None,right,1,1.632248965994222,461.90747732599266,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,8 4 3 9,5,left,,,,,0,33,33,38,,,,,,,463.57432304599206,464.57275166298496,464.73800839600153,466.2409259559936,468.2390646559943,None,left,1,1.2405221759981941,468.2390646559943,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,1,y,8 9 5 6 7,8,right,,,,,0,34,34,64,,,,,,,469.5265620139835,470.5404907359916,470.6894423949998,472.1889735930017,474.1889962909918,None,right,1,0.7832488089916296,474.1889962909918,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,2,y,7 6,6,right,,,,,0,35,35,17,,,,,,,474.98979334998876,475.98921671899734,476.1724340009969,477.6726304939948,479.6719514039869,None,right,1,0.7371863119769841,479.6719514039869,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,2,y,2 6 1 7 4,6,right,,,,,0,36,36,69,,,,,,,480.4572340239829,481.4569337290013,481.6244692739856,483.12512857298134,485.1220747529878,None,right,1,1.860827162017813,485.1220747529878,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,--,n,7 9,1,left,,,,,0,37,37,8,,,,,,,487.01052668399643,488.0241102690052,488.1882597649819,489.6897080029885,491.6886442549876,None,left,1,1.1150420369813219,491.6886442549876,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,6 9 4 5 2,1,left,,,,,0,38,38,79,,,,,,,492.84090900898445,493.85643416599487,494.00524675499764,495.5064165109943,497.5044391209958,None,left,1,1.0686182969948277,497.5044391209958,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,2,y,7 1 3,1,right,,,,,0,39,39,27,,,,,,,498.6069318949885,499.6073717859981,499.7911670769972,501.29011409700615,503.2901058739808,None,left,0,1.1262694479955826,503.2901058739808,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,--,n,6 8 4,1,left,,,,,0,40,40,26,,,,,,,504.4575692960061,505.4729803169903,505.62403419299517,507.13942977800616,509.1208239529806,None,left,1,1.308530252019409,509.1208239529806,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,--,n,7 1,8,left,,,,,0,41,41,12,,,,,,,510.46076104199165,511.47256818198366,511.63795717500034,513.1410280400014,515.1408517859818,None,left,1,1.188278061017627,515.1408517859818,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,1,y,6 2,6,right,,,,,0,42,42,9,,,,,,,516.3730853550078,517.3727756489825,517.5405389189837,519.0403173319937,521.039377137,None,right,1,1.6376451789983548,521.039377137,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,7 6 4 8 1 2,9,left,,,,,0,43,43,120,,,,,,,522.7117682629905,523.7223882100079,523.887279691,525.3890872499906,527.387283168995,None,left,1,1.0403670119994786,527.387283168995,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,4 2 7 6 1 3,8,left,,,,,0,44,44,121,,,,,,,528.4738277980068,529.4724756199867,529.6404300399881,531.1559585609939,533.1418818910024,None,left,1,0.8826158890151419,533.1418818910024,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,4,y,7 8 4 6 9 5,6,right,,,,,0,45,45,112,,,,,,,534.0735024969908,535.0733777959831,535.2394698789867,536.7393217009958,538.756808214006,None,right,1,1.198674885003129,538.756808214006,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,6,y,7 4 2 6 3 5,5,right,,,,,0,46,46,124,,,,,,,539.9953702600033,541.0055477900023,541.1605583899945,542.6725801480061,544.6564414839959,None,right,1,1.256851800979348,544.6564414839959,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
1,--,n,5,8,left,,,,,0,47,47,0,,,,,,,545.9428264059825,546.9566232920042,547.122559735988,548.6237091280054,550.6228430479823,None,left,1,0.9741266789787915,550.6228430479823,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,1,y,9 4 2,9,right,,,,,0,48,48,21,,,,,,,551.6402368099953,552.6398693310039,552.8054146069917,554.3066076719842,556.3047393549932,None,right,1,0.9881424079940189,556.3047393549932,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,1 3 2 6 9,5,left,,,,,0,49,49,72,,,,,,,557.3398538490001,558.3399650570063,558.504291219986,560.0055241859809,562.0058965180069,None,left,1,1.5037150570133235,562.0058965180069,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,--,n,2 7 5,8,left,,,,,0,50,50,32,,,,,,,563.5556369829865,564.5552697629901,564.7231907910027,566.2385730459937,568.2194598329952,None,left,1,1.4341050120128784,568.2194598329952,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,1 4 3 6 5,8,left,,,,,0,51,51,60,,,,,,,569.6757289640082,570.6886137409892,570.8554179389903,572.3552547020081,574.3905461569957,None,left,1,0.8267240999848582,574.3905461569957,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,5,y,5 7 8 2 3 8,3,right,,,,,0,52,52,118,,,,,,,575.2551863479894,576.2549108419917,576.4227436209912,577.9235364290071,579.9228385299793,None,right,1,1.3183056290145032,579.9228385299793,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,4,y,8 5 1 3 9,3,right,,,,,0,53,53,82,,,,,,,581.2885783099919,582.3045708650025,582.4528178169858,583.9558617580042,585.9559528300015,None,right,1,1.7950098869914655,585.9559528300015,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
